m,Geographic area,Indicator,Sex,Series Name,Series Year,TIME_PERIOD,Unit of measure,STD_ERR,INTERVAL
202609,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1991-06,Deaths per 1000 live births,2.608378,5
202610,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1996-06,Deaths per 1000 live births,2.273639,5
202611,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2001-06,Deaths per 1000 live births,1.739099,5
202612,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2006-06,Deaths per 1000 live births,1.731843,5
202613,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2011-06,Deaths per 1000 live births,1.526112,5
202614,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1980-06,Deaths per 1000 live births,6.198504,5
202615,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1985-06,Deaths per 1000 live births,4.002953,5
202616,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1990-06,Deaths per 1000 live births,2.934606,5
202617,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1995-06,Deaths per 1000 live births,3.263255,5
202618,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,2000-06,Deaths per 1000 live births,3.05454,5
202619,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1975-06,Deaths per 1000 live births,5.521961,5
202620,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1980-06,Deaths per 1000 live births,3.451699,5
202621,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1985-06,Deaths per 1000 live births,3.367484,5
202622,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1990-06,Deaths per 1000 live births,2.449829,5
202623,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1995-06,Deaths per 1000 live births,2.977258,5
202624,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1965-06,Deaths per 1000 live births,4.107647,5
202625,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1970-06,Deaths per 1000 live births,3.520598,5
202626,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1975-06,Deaths per 1000 live births,3.152427,5
202627,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1980-06,Deaths per 1000 live births,2.394232,5
202628,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1985-06,Deaths per 1000 live births,2.325043,5
202629,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1970-06,Deaths per 1000 live births,6.825465,5
202630,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1975-06,Deaths per 1000 live births,4.609854,5
202631,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1980-06,Deaths per 1000 live births,3.738868,5
202632,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1985-06,Deaths per 1000 live births,2.89039,5
202633,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1990-06,Deaths per 1000 live births,2.425462,5
202634,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1985-06,Deaths per 1000 live births,5.98136,5
202635,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1990-06,Deaths per 1000 live births,5.492592,5
202636,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1995-06,Deaths per 1000 live births,3.81578,5
202637,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2000-06,Deaths per 1000 live births,4.707007,5
202638,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2005-06,Deaths per 1000 live births,3.992228,5
202639,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1954-06,Deaths per 1000 live births,5.17,5
202640,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1959-06,Deaths per 1000 live births,5.51,5
202641,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1964-06,Deaths per 1000 live births,3.23,5
202642,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1969-06,Deaths per 1000 live births,3.03,5
202643,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1974-06,Deaths per 1000 live births,3.03,5
202644,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1954-06,Deaths per 1000 live births,,1
202645,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1955-06,Deaths per 1000 live births,,1
202646,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1956-06,Deaths per 1000 live births,,1
202647,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1957-06,Deaths per 1000 live births,,1
202648,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1958-06,Deaths per 1000 live births,,1
202649,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1959-06,Deaths per 1000 live births,,1
202650,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1960-06,Deaths per 1000 live births,,1
202651,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1961-06,Deaths per 1000 live births,,1
202652,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1962-06,Deaths per 1000 live births,,1
202653,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1963-06,Deaths per 1000 live births,,1
202654,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1964-06,Deaths per 1000 live births,,1
202655,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1965-06,Deaths per 1000 live births,,1
202656,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1966-06,Deaths per 1000 live births,,1
